ARCHOS_RECORDER archosrecorder
ARCHOS_FMRECORDER archosfmrecorder
ARCHOS_RECORDERV2 archosrecorderv2
ARCHOS_ONDIOSP archosondiosp
ARCHOS_ONDIOFM archosondiofm
IRIVER_H120 iriverh120
IRIVER_H300 iriverh300
IRIVER_H100 iriverh100
IRIVER_IFP7XX iriverifp7xx
IRIVER_H10 iriverh10
IRIVER_H10_5GB iriverh10_5gb
IPOD_COLOR ipodcolor
IPOD_NANO ipodnano1g
IPOD_VIDEO ipodvideo
IPOD_3G ipod3g
IPOD_4G ipod4g
IPOD_MINI ipodmini1g
IPOD_MINI2G ipodmini2g
IPOD_1G2G ipod1g2g
IAUDIO_X5 iaudiox5
IAUDIO_M5 iaudiom5
COWON_D2 cowond2
IAUDIO_M3 iaudiom3
GIGABEAT_F gigabeatfx
GIGABEAT_S gigabeats
MROBE_500 mrobe500
MROBE_100 mrobe100
LOGIK_DAX logikdax
CREATIVE_ZVM zenvisionm30gb
CREATIVE_ZVM60GB zenvisionm60gb
CREATIVE_ZV zenvision
SANSA_E200 sansae200
SANSA_E200 sansae200r
SANSA_C200 sansac200
SANSA_M200 sansam200
SANSA_C100 sansac100
ELIO_TPJ1022 tatungtpj1022
ONDA_VX747 ondavx747
ONDA_VX777 ondavx777
