Zagor       => Björn Stenberg
Linus       => Linus Nielsen Feltzing
Bagder      => Daniel Stenberg
Wavey       => Stuart Martin
alkorr      => Alan Korr
adiamas     => Robert Hak
edx         => Felix Arends
calpefrosch => Stefan Meyer
PsycoXul    => Grant Wier
g003y       => Jerome Kuptz   
elinenbe    => Eric Linenberg
dwihno      => Magnus Öman
Ironi       => Tom Cvitan
notch       => Nick Robinson
Merwin      => Justin Heiner
Hes         => Heikki Hannikainen
rwood       => Randy Wood
mbr         => Markus Braun
matsl       => Mats Lidell
mecraw      => Lee Marlow
hardeep     => Hardeep Sidhu
[IDC]Dragon => Jörg Hohensohn
uski        => Bertrand Achard
Quelsaruk   => Jose Maria Garcia-Valdecasas Bernal
amiconn     => Jens Arnold
mattzz      => Matthias Wientapper
pfavr       => Peter Favrholdt
[av]bani    => Dan Hollis
